Google_ID;Titulo;ISBN_13;Autores;Editora;Data_Publicacao;Ano_Publicacao;Idioma;Paginas;Categoria;Thumbnail;Disponivel_Venda;Preco_R$;Link_Compra;Link_Google_Books;Epub_Disponivel;Epub_Link;PDF_Disponivel;PDF_Link;PDF_WEB_Reader
6Co0EAAAQBAJ;Série Idp - Internet & Regulação;9786555592160;Laura Schertel Mendes, Ana Frazão V. De Mello, Danilo Doneda;Saraiva Educação S.A.;2021-07-21;2021;Inglês;611;Reference, General;http://books.google.com/books/publisher/content?id=6Co0EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE72v140syCzTkmO7SxyTfUADIGaWiMWTQrDgh_pMjDdNLNPKiESF2iB4YYOLpFh0vE_J97siWxp2jxOSWdsXOrIplx-nnk76R4FT8B5eksidYgEsk4wJW5Zks_zq9-8nagXC7Ccx&source=gbs_api;True;153.0;https://play.google.com/store/books/details?id=6Co0EAAAQBAJ&rdid=book-6Co0EAAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=6Co0EAAAQBAJ;True;http://books.google.com.br/books/download/S%C3%A9rie_IDP_Internet_Regula%C3%A7%C3%A3o-sample-epub.acsm?id=6Co0EAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/S%C3%A9rie_IDP_Internet_Regula%C3%A7%C3%A3o-sample-pdf.acsm?id=6Co0EAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=6Co0EAAAQBAJ&hl=&printsec=frontcover&source=gbs_api
IJYvEAAAQBAJ;A Revolução Do Trabalho Remoto: Um Guia Para O Sucesso De Equipes Que Trabalham De Qualquer Lugar;9786558100775;Tsedal Neeley;Saraiva Educação S.A.;2021-06-24;2021;Português;153;nan;http://books.google.com/books/publisher/content?id=IJYvEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE72DrwDqy5ym6apet3Nizhc1i6jQ9rgFFB64wFf89Ad-zt7dptTFxuIuiptjnk1h0dB7fGIcguX33wjoiGgqrtFGaCBHzr2VIhyUZENOhvaVFeMF3tw1ghuio40iguQFNMcK3sdA&source=gbs_api;True;31.0;https://play.google.com/store/books/details?id=IJYvEAAAQBAJ&rdid=book-IJYvEAAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=IJYvEAAAQBAJ;True;http://books.google.com.br/books/download/A_revolu%C3%A7%C3%A3o_do_trabalho_remoto-sample-epub.acsm?id=IJYvEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/A_revolu%C3%A7%C3%A3o_do_trabalho_remoto-sample-pdf.acsm?id=IJYvEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=IJYvEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api
HJYvEAAAQBAJ;Saiba Dizer Não Sem Magoar As Pessoas: Como Se Comunicar De Forma Profissional;9786558100720;Reinaldo Polito;Saraiva Educação S.A.;2021-05-21;2021;Português;71;nan;http://books.google.com/books/publisher/content?id=HJYvEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE70J9kkXjB1kPIrb6DsipjH6l3R1rI-FyjpFdCQDZQXdVyokv1SxhKbb5jO9zRFswYWDPei04tU4qQZHLQR1_qN4xwE1I8jOh2K0nOvzh28gQ4w9gkglPxukJcdTCWgNndLrpmit&source=gbs_api;True;14.9;https://play.google.com/store/books/details?id=HJYvEAAAQBAJ&rdid=book-HJYvEAAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=HJYvEAAAQBAJ;True;http://books.google.com.br/books/download/Saiba_dizer_n%C3%A3o_sem_magoar_as_pessoas-sample-epub.acsm?id=HJYvEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Saiba_dizer_n%C3%A3o_sem_magoar_as_pessoas-sample-pdf.acsm?id=HJYvEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=HJYvEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api
XzIiEAAAQBAJ;Manual De Direito Empresarial - 11ª Edição 2021;9786555595581;Ricardo Negrão;Saraiva Educação S.A.;2021-04-01;2021;Português;330;Reference, General;http://books.google.com/books/publisher/content?id=XzIiEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE73FQyorzanKlkf4f2qR0W1ld6R8wF_PSQL7MMEh70THccS9yj8pSpbFXzBoMvJ9urdP3vigcMERTAj72OeORN-1ga-aXSF_uer6ePSmqmj6eX1P1tW7Qjb_kum4nu-FB8tnOPDI&source=gbs_api;True;112.0;https://play.google.com/store/books/details?id=XzIiEAAAQBAJ&rdid=book-XzIiEAAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=XzIiEAAAQBAJ;True;http://books.google.com.br/books/download/Manual_de_Direito_Empresarial_11%C2%AA_Edi%C3%A7-sample-epub.acsm?id=XzIiEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Manual_de_Direito_Empresarial_11%C2%AA_Edi%C3%A7-sample-pdf.acsm?id=XzIiEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=XzIiEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api
5xcfEAAAQBAJ;Direito Empresarial Sistematizado;9786555595888;Tarcisio Teixeira;Saraiva Educação S.A.;2021-03-28;2021;Português;788;Reference, General;http://books.google.com/books/publisher/content?id=5xcfEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE73CPGcSK_rZTcxFgnZiYwtID9fns3NnD9VOGJ2vLQKh8tFfsQiwuNX8LMGMsHJlWkO4SyvOiPH24WXxYIilU9KwDx4tk2YIXELr3MiH3HmYl4V_qxQdE8K4g0et61plj7Idvl2A&source=gbs_api;True;112.0;https://play.google.com/store/books/details?id=5xcfEAAAQBAJ&rdid=book-5xcfEAAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=5xcfEAAAQBAJ;True;http://books.google.com.br/books/download/Direito_empresarial_sistematizado-sample-epub.acsm?id=5xcfEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Direito_empresarial_sistematizado-sample-pdf.acsm?id=5xcfEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=5xcfEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api
bs4iEAAAQBAJ;Prática Jurídica - Trabalhista;9786555598384;Leone Pereira Da Silva Junior;Saraiva Educação S.A.;2021-03-28;2021;Português;1357;Reference, General;http://books.google.com/books/publisher/content?id=bs4iEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE72gSzYuP896y9xKvJijKm2xmkLszUSB1vJ573kjde26NpbWNWrzDZsry-s7VqtCHg23YcVBhgD-v7sA03PKYSyIImy81iE-oD_enVug_rNbKDqNDGoCDbmja-l9UtDomo_CVRll&source=gbs_api;True;140.0;https://play.google.com/store/books/details?id=bs4iEAAAQBAJ&rdid=book-bs4iEAAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=bs4iEAAAQBAJ;True;http://books.google.com.br/books/download/Pr%C3%A1tica_Jur%C3%ADdica_Trabalhista-sample-epub.acsm?id=bs4iEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Pr%C3%A1tica_Jur%C3%ADdica_Trabalhista-sample-pdf.acsm?id=bs4iEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=bs4iEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api
Po0kEAAAQBAJ;Compreendendo A Língua Que Você Fala: A Gramática E O Conceito De Certo E Errado;9786587958347;Ernani Terra;Saraiva Educação S.A.;2021-03-18;2021;Português;94;Reference, General;http://books.google.com/books/publisher/content?id=Po0kEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE72TN6npD1eK4pKtBIlebLyoGEGshEI0Lvi0gFyKKkv2Z7G1VqxAMHQWIMA58rymRep--P7dJddh180lhI0ExM9t3Ni0Mcmlp3BWOBJicQkbB4YEh755bBqH7gZHbiQ2N3V23qiN&source=gbs_api;True;14.9;https://play.google.com/store/books/details?id=Po0kEAAAQBAJ&rdid=book-Po0kEAAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=Po0kEAAAQBAJ;True;http://books.google.com.br/books/download/Compreendendo_a_l%C3%ADngua_que_voc%C3%AA_fala_a-sample-epub.acsm?id=Po0kEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Compreendendo_a_l%C3%ADngua_que_voc%C3%AA_fala_a-sample-pdf.acsm?id=Po0kEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=Po0kEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api
TyYhEAAAQBAJ;Clt Saraiva E Constituição Federal - Tradicional;9786555594348;Saraiva Educacao;Saraiva Educação S.A.;2021-03-16;2021;Português;2939;Reference, General;http://books.google.com/books/publisher/content?id=TyYhEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE73NUsvmcFaDUKc7hyKCeBzjA96SKcyIC5QyI656H3dVwJIiAwaYulalCq_v6eSfNP8nLF9jBZJJ--xzrObeXgxLF6L-7Fdzm4d_KBT5Mwgi5TApUNAMxnIUqcjC5NmhCmxTGEHa&source=gbs_api;True;132.0;https://play.google.com/store/books/details?id=TyYhEAAAQBAJ&rdid=book-TyYhEAAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=TyYhEAAAQBAJ;True;http://books.google.com.br/books/download/CLT_Saraiva_e_Constitui%C3%A7%C3%A3o_Federal_Tra-sample-epub.acsm?id=TyYhEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/CLT_Saraiva_e_Constitui%C3%A7%C3%A3o_Federal_Tra-sample-pdf.acsm?id=TyYhEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=TyYhEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api
YM4iEAAAQBAJ;Vade Mecum Trabalhista - Temático - 5ª Edição 2021;9786555594294;Saraiva Educacao;Saraiva Educação S.A.;2021-03-12;2021;Português;3987;Reference, General;http://books.google.com/books/publisher/content?id=YM4iEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE73RnM4wDQA-HFTm70GbOR_bClHX3M5bvG9rJEszpe3X17miKLwRa7DIrcOo5-jEz054khmnSNRKzkkxvujnmXJlSbuv8Fmwg63-nM3MXL-XzrDWetYzGYWqn_8565BAu6XVHDn8&source=gbs_api;True;119.0;https://play.google.com/store/books/details?id=YM4iEAAAQBAJ&rdid=book-YM4iEAAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=YM4iEAAAQBAJ;True;http://books.google.com.br/books/download/Vade_Mecum_Trabalhista_Tem%C3%A1tico_5%C2%AA_Edi-sample-epub.acsm?id=YM4iEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Vade_Mecum_Trabalhista_Tem%C3%A1tico_5%C2%AA_Edi-sample-pdf.acsm?id=YM4iEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=YM4iEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api
QyYhEAAAQBAJ;Vade Mecum Administração - Temático - 5ª Edição 2021;9786555594218;Saraiva Educacao;Saraiva Educação S.A.;2021-03-11;2021;Português;3668;Reference, General;http://books.google.com/books/publisher/content?id=QyYhEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE733b7OqfkdHddBflyPuNgGOvIOscL9uKsCICu2BIFM0vXioE1djOOEhJoxC98Kb9qbpdvxQ21_BQ3X-bsT6EJSO8Mm1lg9yJvv20Gqi1tGC2-pNN_osUeUbgi8hMKqOo43NrX8a&source=gbs_api;True;119.0;https://play.google.com/store/books/details?id=QyYhEAAAQBAJ&rdid=book-QyYhEAAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=QyYhEAAAQBAJ;True;http://books.google.com.br/books/download/Vade_Mecum_Administra%C3%A7%C3%A3o_Tem%C3%A1tico_5%C2%AA-sample-epub.acsm?id=QyYhEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Vade_Mecum_Administra%C3%A7%C3%A3o_Tem%C3%A1tico_5%C2%AA-sample-pdf.acsm?id=QyYhEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=QyYhEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api
cs4iEAAAQBAJ;Equipes Que Fazem A Diferença (Team Building): Estratégias Comprovadas Para Desenvolver Equipes De Alta Performance;9788502109827;Willian G Dyer, Jeffrey H. Dyer;Saraiva Educação S.A.;2021-03-11;2021;Português;264;Reference, General;http://books.google.com/books/publisher/content?id=cs4iEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE73FV6PxMTfNrCPLVQribX3cMWTLgzMPA_zQLl459NbcULddFdBumcjXn59FGr9hhmqoQq9e2DTWzGUr2rA79eY2x0NBdFBYOTr_BVhK4azNrDkvwQ1eeFhZsM_IGTnA4TkLktEK&source=gbs_api;True;37.0;https://play.google.com/store/books/details?id=cs4iEAAAQBAJ&rdid=book-cs4iEAAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=cs4iEAAAQBAJ;True;http://books.google.com.br/books/download/Equipes_que_fazem_a_diferen%C3%A7a_Team_buil-sample-epub.acsm?id=cs4iEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Equipes_que_fazem_a_diferen%C3%A7a_Team_buil-sample-pdf.acsm?id=cs4iEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=cs4iEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api
USYhEAAAQBAJ;Segurança E Medicina Do Trabalho;9786555595635;Saraiva Educacao;Saraiva Educação S.A.;2021-03-10;2021;Português;2982;Reference, General;http://books.google.com/books/publisher/content?id=USYhEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE70RmDRM-PuirtECFduOtW4UBGdzr_A9xWqISbK5KTCcem5rp9P0R87jyVkOvOThTgcA1V9WHeezLM4yo2PtdhvvBo2tG3H4GQS7sBnuA7WVrciTB7U8-i8M9fdvdVaTkITTtptl&source=gbs_api;True;97.0;https://play.google.com/store/books/details?id=USYhEAAAQBAJ&rdid=book-USYhEAAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=USYhEAAAQBAJ;True;http://books.google.com.br/books/download/Seguran%C3%A7a_e_Medicina_do_Trabalho-sample-epub.acsm?id=USYhEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Seguran%C3%A7a_e_Medicina_do_Trabalho-sample-pdf.acsm?id=USYhEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=USYhEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api
SSYhEAAAQBAJ;Vade Mecum Tributário - 5 ª Edição 2021;9786555594256;Saraiva Educacao;Saraiva Educação S.A.;2021-03-08;2021;Português;2883;Reference, General;http://books.google.com/books/publisher/content?id=SSYhEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE72HAcxfbiHCwJI1tYRK1ZaYf-qZKB8ymsbUlJYy4kep7iKyYIg-8Zh7u3y4uhCSZBr98h--U144WZ_WgGCpZt7hoajy53wBLYTHUViNQbRb77Oofvlu9vq0TkLppKWyYeB-EgnF&source=gbs_api;True;119.0;https://play.google.com/store/books/details?id=SSYhEAAAQBAJ&rdid=book-SSYhEAAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=SSYhEAAAQBAJ;True;http://books.google.com.br/books/download/Vade_Mecum_Tribut%C3%A1rio_5_%C2%AA_Edi%C3%A7%C3%A3o_202-sample-epub.acsm?id=SSYhEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Vade_Mecum_Tribut%C3%A1rio_5_%C2%AA_Edi%C3%A7%C3%A3o_202-sample-pdf.acsm?id=SSYhEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=SSYhEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api
RyYhEAAAQBAJ;Vade Mecum Penal - 5 ª Edição 2021;9786555594232;Saraiva Educacao;Saraiva Educação S.A.;2021-03-08;2021;Português;3025;Reference, General;http://books.google.com/books/publisher/content?id=RyYhEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE70wnfskh6NqrSvTyEOKIHq5vslJCA7lB2NpjlcqrKKFURutRHDJfftG_pjfLlikiHu6kRyw-U36ajiBaFaWTVY1ZUvS6wvCVjMSisS2rJjMl_WTGGQe1llkuDxsPunK1cDhaenn&source=gbs_api;True;118.0;https://play.google.com/store/books/details?id=RyYhEAAAQBAJ&rdid=book-RyYhEAAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=RyYhEAAAQBAJ;True;http://books.google.com.br/books/download/Vade_Mecum_Penal_5_%C2%AA_Edi%C3%A7%C3%A3o_2021-sample-epub.acsm?id=RyYhEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Vade_Mecum_Penal_5_%C2%AA_Edi%C3%A7%C3%A3o_2021-sample-pdf.acsm?id=RyYhEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=RyYhEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api
